id,conversation_id,parent_claim,child_claim,dependency_type
1,753,Claim_4000,Claim_8079,contradicts
2,58,Claim_4403,Claim_9884,requires
3,470,Claim_4752,Claim_7973,extends
4,385,Claim_567,Claim_7254,supports
5,566,Claim_1551,Claim_5003,requires
6,41,Claim_4895,Claim_5441,requires
7,252,Claim_1946,Claim_8087,supports
8,132,Claim_3975,Claim_6538,supports
9,739,Claim_2740,Claim_8466,requires
10,860,Claim_1343,Claim_8453,supports
11,502,Claim_1621,Claim_8518,extends
12,602,Claim_1193,Claim_7388,contradicts
13,832,Claim_4901,Claim_9467,requires
14,725,Claim_3691,Claim_8727,extends
15,557,Claim_1494,Claim_7464,extends
16,970,Claim_4117,Claim_6280,supports
17,287,Claim_3541,Claim_6362,extends
18,170,Claim_1525,Claim_6316,extends
19,202,Claim_4277,Claim_5678,extends
20,513,Claim_2666,Claim_6447,extends
21,223,Claim_2768,Claim_9927,supports
22,395,Claim_1185,Claim_8976,supports
23,790,Claim_4759,Claim_7387,supports
24,899,Claim_786,Claim_7277,contradicts
25,77,Claim_1408,Claim_7552,contradicts
26,947,Claim_1315,Claim_6520,extends
27,258,Claim_3029,Claim_8178,requires
28,692,Claim_216,Claim_9280,extends
29,590,Claim_1858,Claim_7855,supports
30,287,Claim_3400,Claim_6281,extends
31,202,Claim_3761,Claim_7281,supports
32,361,Claim_1612,Claim_7802,extends
33,213,Claim_4279,Claim_8661,contradicts
34,807,Claim_653,Claim_9993,supports
35,349,Claim_1985,Claim_5265,contradicts
36,349,Claim_4599,Claim_8951,contradicts
37,585,Claim_2831,Claim_5485,extends
38,354,Claim_3908,Claim_6058,extends
39,187,Claim_1566,Claim_5115,supports
40,494,Claim_37,Claim_9584,requires
41,895,Claim_574,Claim_9568,requires
42,618,Claim_2487,Claim_9121,contradicts
43,404,Claim_3739,Claim_7336,requires
44,737,Claim_2868,Claim_6378,supports
45,276,Claim_4487,Claim_7045,contradicts
46,978,Claim_3120,Claim_7975,supports
47,570,Claim_3122,Claim_9681,extends
48,681,Claim_1142,Claim_8753,supports
49,765,Claim_1415,Claim_7728,extends
50,694,Claim_3023,Claim_7165,supports
51,816,Claim_906,Claim_5509,contradicts
52,364,Claim_3363,Claim_6458,contradicts
53,74,Claim_1171,Claim_8464,requires
54,457,Claim_3448,Claim_9157,supports
55,805,Claim_4667,Claim_7174,supports
56,757,Claim_2565,Claim_9657,requires
57,310,Claim_3964,Claim_5291,extends
58,206,Claim_3476,Claim_7185,extends
59,862,Claim_2368,Claim_7662,extends
60,733,Claim_1277,Claim_5193,requires
61,328,Claim_2218,Claim_6843,extends
62,418,Claim_551,Claim_7417,extends
63,306,Claim_481,Claim_6702,requires
64,73,Claim_2829,Claim_6224,contradicts
65,195,Claim_982,Claim_5353,supports
66,344,Claim_3370,Claim_9371,extends
67,667,Claim_248,Claim_7992,extends
68,745,Claim_640,Claim_6527,extends
69,373,Claim_1339,Claim_8292,contradicts
70,601,Claim_3640,Claim_7308,requires
