sample_id,sep_score,semantic_entropy,kernel_language_entropy,nli_agreement,retrieval_confidence,symbolic_verification,temporal_validation,cross_model_agreement,critic_score,calibration_factor,fusion_trust_score,risk_level,verified
1,0.052364,0.087187,0.407242,0.1077,0.901199,0.038154,0.536202,0.332198,0.852087,0.831932,0.361262,High,0
2,0.245163,0.001671,0.436276,0.087613,0.597599,0.069877,0.315459,0.448322,0.905399,0.818553,0.383511,High,0
3,0.142175,0.790072,0.021236,0.911151,0.573408,0.265322,0.837838,0.768795,0.343462,0.960299,0.524688,High,0
4,0.527075,0.809339,0.315263,0.398238,0.769279,0.512752,0.684837,0.638353,0.666658,0.97802,0.556923,High,0
5,0.486136,0.66847,0.374522,0.031841,0.754173,0.181465,0.82019,0.913646,0.658074,0.834025,0.375555,High,0
6,0.073291,0.456767,0.573169,0.336106,0.189062,0.088157,0.628318,0.012829,0.351914,0.845826,0.263113,High,0
7,0.531997,0.723663,0.909153,0.638801,0.991793,0.964059,0.629991,0.233373,0.483811,0.835518,0.491126,High,0
8,0.75165,0.04413,0.134728,0.193177,0.256362,0.352048,0.27193,0.434269,0.420357,0.821724,0.427644,High,0
9,0.062609,0.355061,0.088789,0.4332,0.008561,0.535801,0.073484,0.694206,0.404207,0.99707,0.381243,High,0
10,0.750815,0.334831,0.348367,0.639128,0.969686,0.88388,0.419038,0.717718,0.679052,0.874422,0.662565,Medium,0
11,0.234963,0.078376,0.878909,0.057159,0.518696,0.537536,0.146139,0.655932,0.915823,0.955227,0.382509,High,0
12,0.97493,0.517103,0.629618,0.802277,0.386246,0.062056,0.136016,0.668447,0.34954,0.974215,0.548308,High,0
13,0.740165,0.980439,0.668834,0.303806,0.791109,0.028258,0.521591,0.871395,0.514719,0.827474,0.342223,High,0
14,0.369001,0.893434,0.340081,0.271751,0.506301,0.203272,0.322057,0.39817,0.938262,0.816072,0.31245,High,0
15,0.197095,0.199499,0.995265,0.890809,0.194163,0.564624,0.0851,0.317028,0.341144,0.907536,0.430733,High,0
16,0.534183,0.78608,0.483959,0.73056,0.776954,0.256852,0.832777,0.577944,0.48612,0.879163,0.464991,High,0
17,0.22415,0.501258,0.126106,0.634783,0.898268,0.790526,0.609158,0.494474,0.695782,0.824463,0.54847,High,0
18,0.361841,0.668947,0.420762,0.358671,0.770286,0.343033,0.753714,0.820478,0.180676,0.995446,0.491594,High,0
19,0.062442,0.414727,0.500475,0.829358,0.174879,0.55903,0.368517,0.921683,0.122327,0.853083,0.390378,High,0
20,0.944221,0.051604,0.388418,0.107466,0.57353,0.963125,0.324695,0.646836,0.265914,0.887844,0.524603,High,0
21,0.571521,0.248413,0.690468,0.500996,0.905463,0.275021,0.954855,0.182206,0.019912,0.932041,0.506968,High,0
22,0.04276,0.998134,0.141552,0.870467,0.891533,0.220857,0.863939,0.463406,0.899583,0.977505,0.481509,High,0
23,0.774297,0.28871,0.580105,0.981314,0.320623,0.386501,0.687989,0.062636,0.253362,0.833604,0.472116,High,0
24,0.607059,0.49681,0.16477,0.046621,0.524772,0.763857,0.926894,0.839638,0.302753,0.973135,0.531575,High,0
25,0.467392,0.282447,0.092159,0.442712,0.544961,0.279299,0.195299,0.94089,0.067775,0.987878,0.475896,High,0
26,0.110948,0.570008,0.761696,0.436012,0.356466,0.493219,0.19446,0.21163,0.241312,0.807511,0.274682,High,0
27,0.910024,0.07344,0.927138,0.010956,0.656213,0.546928,0.041842,0.941467,0.730769,0.975826,0.505826,High,0
28,0.185928,0.112719,0.67095,0.821797,0.212011,0.025966,0.361533,0.152875,0.224934,0.84441,0.358391,High,0
29,0.662421,0.434603,0.560485,0.390087,0.983671,0.496933,0.042595,0.139223,0.731221,0.982525,0.558288,High,0
30,0.862151,0.5518,0.017423,0.520872,0.288757,0.213373,0.936618,0.105727,0.8297,0.950602,0.573656,High,0
31,0.592823,0.324864,0.08277,0.668745,0.959226,0.179797,0.126147,0.475164,0.851357,0.801063,0.522485,High,0
32,0.032291,0.146409,0.457606,0.93696,0.661306,0.059625,0.151697,0.461335,0.090287,0.93367,0.443858,High,0
33,0.358933,0.956077,0.819701,0.816907,0.235133,0.431301,0.671586,0.089403,0.009541,0.865476,0.265416,High,0
34,0.814652,0.057955,0.064603,0.924778,0.288068,0.125114,0.792624,0.784988,0.604694,0.953484,0.7157,Medium,1
35,0.859598,0.853135,0.263263,0.420872,0.984445,0.367745,0.626089,0.846503,0.876811,0.920531,0.557807,High,0
36,0.003287,0.350542,0.758852,0.646604,0.079885,0.719619,0.610009,0.444718,0.104618,0.919266,0.374615,High,0
37,0.745576,0.198725,0.634906,0.070608,0.205343,0.358267,0.778021,0.2833,0.890316,0.99662,0.472123,High,0
38,0.728721,0.764373,0.900922,0.672466,0.7801,0.36552,0.100813,0.999913,0.604693,0.85409,0.462799,High,0
39,0.892763,0.073592,0.056781,0.254851,0.130091,0.410748,0.621078,0.51942,0.553717,0.823876,0.414998,High,0
40,0.329789,0.799247,0.637986,0.762059,0.657947,0.439508,0.234977,0.093569,0.113245,0.820185,0.3255,High,0
41,0.76735,0.837313,0.817617,0.884797,0.358769,0.674088,0.82028,0.132304,0.000348,0.841931,0.460328,High,0
42,0.129642,0.847174,0.174652,0.266682,0.168148,0.88394,0.828068,0.064919,0.023827,0.958247,0.284627,High,0
43,0.393689,0.568423,0.63811,0.543597,0.187995,0.310332,0.597446,0.784286,0.338218,0.804532,0.349722,High,0
44,0.961173,0.426976,0.497494,0.422722,0.866101,0.800635,0.153957,0.666073,0.54988,0.979503,0.65285,Medium,0
45,0.062731,0.57829,0.18982,0.569344,0.817174,0.434027,0.534799,0.365128,0.944835,0.972482,0.506798,High,0
46,0.534933,0.311459,0.031235,0.675207,0.156185,0.643824,0.098612,0.713926,0.83745,0.959434,0.564344,High,0
47,0.882952,0.615265,0.333759,0.18244,0.657853,0.974261,0.658076,0.103933,0.043505,0.830447,0.445053,High,0
48,0.705925,0.583729,0.364791,0.420802,0.263194,0.410974,0.184029,0.52914,0.660818,0.909949,0.41989,High,0
49,0.991327,0.925039,0.890281,0.603907,0.144026,0.758892,0.943536,0.600622,0.454046,0.931049,0.437665,High,0
50,0.479401,0.371664,0.808002,0.465399,0.64789,0.284217,0.538505,0.562674,0.586501,0.957219,0.432352,High,0
51,0.338625,0.169183,0.374894,0.585928,0.49083,0.372452,0.421375,0.177202,0.104721,0.931462,0.485389,High,0
