sample_id,hidden_dim,hidden_mean,hidden_std,hidden_norm,final_token_entropy,max_logit,logit_margin,attention_dispersion,retrieval_confidence,semantic_consistency,target_semantic_entropy,hallucination_label
1,64,0.278854,0.086266,20.126613,1.116054,22.094136,10.150492,0.89218,0.086939,0.421922,0.623006,1
2,64,0.010711,0.088477,15.936071,3.249422,16.348244,3.306609,0.589266,0.80943,0.006499,0.63922,1
3,64,0.611639,1.062302,23.713778,0.777397,28.716392,5.048918,0.092746,0.096716,0.847494,0.341426,0
4,64,0.459464,0.827531,58.521367,1.892672,16.561219,12.44107,0.61852,0.861707,0.577352,0.290754,0
5,64,0.409144,0.116445,17.534405,1.44694,2.393759,3.491863,0.101001,0.277974,0.635684,0.41037,0
6,64,-0.580986,0.437118,56.516002,3.240177,18.27393,2.56708,0.729127,0.163402,0.379455,0.730013,1
7,64,0.979047,0.978,35.632236,3.423071,25.285558,11.639999,0.229048,0.0321,0.315453,0.658334,1
8,64,0.885819,1.320733,22.307283,3.277193,11.868957,13.718214,0.458852,0.26488,0.246628,0.678439,1
9,64,0.122736,0.430975,37.152229,4.489114,11.982015,3.289811,0.997538,0.509526,0.090909,0.790711,1
10,64,0.254892,1.198515,28.218798,0.317639,11.448579,14.941821,0.529114,0.971078,0.86078,0.165767,0
11,64,-0.977038,1.095047,42.49407,2.684852,8.004756,9.614427,0.111552,0.434765,0.453724,0.594476,1
12,64,-0.473222,0.77585,14.825853,4.563139,26.115557,4.476672,0.638949,0.60897,0.152839,0.661847,1
13,64,0.525022,0.8321,47.824456,2.651768,0.017157,4.862341,0.019477,0.929099,0.878722,0.258036,0
14,64,-0.88415,1.323114,57.082219,0.428267,14.579714,1.038188,0.760602,0.765834,0.128391,0.552351,1
15,64,-0.049435,0.847215,19.578115,4.362165,12.694138,3.176973,0.539296,0.729931,0.201151,0.577248,1
16,64,0.299756,0.685245,33.466671,0.605021,6.74092,5.071283,0.588309,0.230115,0.220217,0.782518,1
17,64,-0.858014,0.965099,17.591798,4.5271,25.789062,1.06286,0.238005,0.668978,0.214237,0.721366,1
18,64,0.142086,0.735373,48.154068,4.037485,5.712297,1.453962,0.431051,0.423579,0.467025,0.696195,1
19,64,0.458152,1.026379,59.129087,0.492089,12.078638,5.089539,0.861673,0.248656,0.190209,0.622836,1
20,64,-0.44291,0.412219,55.779608,2.215654,25.840473,8.25488,0.050588,0.999282,0.836028,0.204414,0
21,64,0.937993,1.393232,51.678265,0.831556,14.569234,3.206209,0.40104,0.058635,0.378973,0.681904,1
22,64,0.568141,0.709762,28.265412,4.786588,29.862681,8.336525,0.718408,0.154797,0.296708,0.737355,1
23,64,0.937419,0.889811,34.820736,3.739878,1.714958,8.762664,0.50285,0.85272,0.157433,0.585258,1
24,64,-0.62835,0.912801,42.13669,1.176019,3.596598,13.35431,0.246215,0.594519,0.619382,0.330902,0
25,64,-0.16155,0.896325,33.753049,4.673531,6.127776,10.742877,0.238686,0.395786,0.67169,0.474825,0
26,64,0.503729,0.155188,30.205704,4.992272,29.882893,1.098911,0.213154,0.2652,0.933259,0.517448,0
27,64,0.761728,1.324942,25.32399,0.788734,25.012349,10.553099,0.611678,0.987233,0.653976,0.374993,0
28,64,-0.401242,1.011914,56.64115,0.671456,3.46286,1.60554,0.553224,0.272348,0.60483,0.523244,0
29,64,0.435224,0.345216,39.883088,1.31992,14.655956,13.580047,0.846104,0.092298,0.423576,0.573152,1
30,64,0.542238,0.973814,19.407539,3.706155,16.550413,6.415304,0.00967,0.075244,0.883106,0.4781,0
31,64,0.807857,0.841106,50.902726,2.912548,4.442814,1.911683,0.308258,0.898981,0.796122,0.398705,0
32,64,-0.579847,0.411818,10.653649,3.900581,26.524041,6.095661,0.620662,0.154553,0.929881,0.405896,0
33,64,0.729211,1.465499,49.592445,4.407081,0.743591,11.048467,0.332185,0.930816,0.802235,0.387068,0
34,64,-0.466389,1.191693,10.945259,4.360834,25.757798,3.336506,0.816587,0.460303,0.305191,0.639282,1
35,64,0.590691,0.380013,6.301544,0.965649,9.847859,12.965294,0.966889,0.279125,0.641482,0.343758,0
36,64,0.072431,1.411894,11.343796,4.852003,5.357034,14.438015,0.265466,0.108403,0.434564,0.726775,1
37,64,0.45709,0.504832,38.341487,2.557115,11.555863,8.648821,0.254723,0.708785,0.001691,0.639067,1
38,64,0.43886,1.125828,41.884568,1.821107,2.099214,9.963565,0.3302,0.313916,0.848015,0.355446,0
39,64,0.439509,0.485467,22.010656,2.041965,12.072012,4.434828,0.127288,0.420446,0.940364,0.278759,0
40,64,0.23103,0.486377,35.136547,0.00203,8.607412,6.448322,0.579985,0.654706,0.464988,0.307965,0
41,64,-0.11568,0.359867,31.02524,4.505904,23.880743,2.545371,0.084796,0.515452,0.632941,0.441182,0
42,64,0.502276,1.025554,17.355237,0.99565,0.732762,3.672638,0.475136,0.849738,0.072828,0.628602,1
43,64,-0.171118,0.96316,15.693938,3.481771,14.831315,3.659767,0.656058,0.005545,0.750964,0.616524,1
44,64,-0.149708,0.305036,57.688132,2.589789,1.506552,3.737974,0.848336,0.456462,0.801417,0.429613,0
45,64,0.335155,1.482444,37.749878,4.750198,26.742778,9.189785,0.719274,0.504778,0.830569,0.383823,0
46,64,0.487311,0.738278,19.255535,1.236199,19.129843,11.487205,0.5213,0.626748,0.274597,0.452849,0
47,64,-0.845033,0.464306,19.944331,1.598548,16.204567,2.075611,0.231261,0.69395,0.706419,0.399043,0
48,64,0.085222,0.652873,16.375891,2.100718,27.145154,8.761191,0.695523,0.856732,0.765595,0.33388,0
49,64,-0.239238,0.058549,24.346734,3.767376,25.603439,14.301455,0.419021,0.747516,0.546132,0.355382,0
50,64,-0.561157,0.681962,6.596365,1.680648,20.374257,6.06475,0.165045,0.46739,0.127628,0.566382,1
