id,raw_trust_score,ground_truth,calibrated_score,prediction_set
1,0.8027,0,0.8179,Verified
2,0.438,0,0.4248,Rejected
3,0.0866,1,0.0783,Verified
4,0.1604,0,0.1486,Review
5,0.1606,0,0.1613,Rejected
6,0.7629,0,0.7353,Verified
7,0.3448,1,0.3451,Rejected
8,0.3011,1,0.3043,Review
9,0.9098,0,0.8322,Verified
10,0.9523,0,0.9698,Verified
11,0.4021,1,0.3922,Verified
12,0.8033,0,0.7809,Rejected
13,0.9281,0,0.9274,Rejected
14,0.91,1,0.8792,Verified
15,0.1232,1,0.1207,Rejected
16,0.8363,0,0.7621,Verified
17,0.8219,1,0.8424,Rejected
18,0.5513,0,0.5116,Review
19,0.1596,0,0.1456,Review
20,0.1473,0,0.133,Rejected
21,0.3793,0,0.3882,Rejected
22,0.4023,1,0.4072,Rejected
23,0.8607,1,0.8577,Verified
24,0.3057,0,0.2897,Review
25,0.608,0,0.5801,Verified
26,0.0474,0,0.0442,Rejected
27,0.3383,0,0.3104,Rejected
28,0.3548,1,0.3652,Rejected
29,0.4944,1,0.4457,Review
30,0.8484,1,0.8803,Rejected
31,0.4964,1,0.4551,Rejected
32,0.9514,1,0.9771,Review
33,0.7719,1,0.7686,Review
34,0.0607,0,0.0606,Review
35,0.4737,0,0.4914,Verified
36,0.0059,1,0.0056,Review
37,0.9174,0,0.8507,Review
38,0.0958,1,0.0929,Review
39,0.0185,1,0.0171,Rejected
40,0.4541,0,0.4592,Review
41,0.4615,0,0.4182,Review
42,0.0697,1,0.0719,Rejected
43,0.5781,1,0.5276,Verified
44,0.5608,1,0.5733,Verified
45,0.9544,1,0.9597,Rejected
46,0.4377,1,0.4072,Rejected
47,0.8236,0,0.8419,Verified
48,0.0496,1,0.0479,Review
49,0.1941,0,0.1979,Verified
50,0.6604,1,0.6021,Verified
51,0.1088,0,0.1043,Rejected
52,0.3508,1,0.323,Rejected
53,0.143,1,0.1326,Review
54,0.5016,1,0.5181,Verified
55,0.7281,0,0.7346,Rejected
56,0.2665,1,0.2642,Verified
57,0.7243,0,0.728,Review
58,0.4042,1,0.3912,Rejected
59,0.2829,0,0.2851,Rejected
60,0.1987,0,0.2021,Review
61,0.924,1,0.8555,Review
62,0.7355,1,0.6638,Verified
63,0.4517,1,0.4372,Verified
64,0.7242,1,0.6721,Rejected
65,0.0698,0,0.064,Review
66,0.5023,0,0.5003,Verified
67,0.5959,0,0.5867,Rejected
68,0.4433,1,0.4238,Review
69,0.331,0,0.3057,Review
70,0.7063,0,0.7026,Verified
71,0.5035,0,0.4584,Rejected
72,0.1744,0,0.16,Review
73,0.2852,0,0.2748,Rejected
74,0.2067,1,0.2159,Rejected
75,0.1898,0,0.1858,Rejected
76,0.5365,1,0.5481,Review
77,0.2883,0,0.2773,Rejected
78,0.7177,1,0.6739,Verified
79,0.1448,0,0.1488,Rejected
80,0.5727,0,0.5943,Verified
81,0.6038,1,0.5508,Rejected
82,0.3157,1,0.3218,Review
83,0.9014,0,0.8496,Rejected
84,0.301,0,0.2727,Review
85,0.6606,0,0.6669,Rejected
86,0.8624,1,0.8396,Rejected
87,0.8203,1,0.7994,Review
88,0.0159,1,0.0158,Rejected
89,0.7041,0,0.7113,Review
90,0.1586,0,0.1514,Rejected
91,0.7842,0,0.7674,Verified
92,0.7915,0,0.7917,Review
93,0.9372,0,0.9464,Review
94,0.6456,0,0.6335,Review
95,0.7666,0,0.7377,Verified
96,0.0062,1,0.0064,Rejected
97,0.9896,1,0.9017,Review
98,0.6827,0,0.6552,Review
99,0.9894,1,1.0,Review
100,0.3646,1,0.3467,Review
101,0.0524,0,0.0527,Verified
102,0.3776,1,0.3559,Review
103,0.555,0,0.4997,Rejected
104,0.0108,1,0.011,Verified
105,0.7,1,0.7032,Verified
106,0.1997,0,0.1829,Rejected
107,0.6972,1,0.6454,Review
108,0.5345,1,0.5288,Rejected
109,0.8678,1,0.8044,Review
110,0.1123,0,0.1023,Verified
111,0.3474,1,0.3502,Review
112,0.5007,0,0.4917,Review
113,0.3601,0,0.336,Verified
114,0.4588,0,0.4536,Review
115,0.0794,1,0.0788,Verified
116,0.2231,1,0.2029,Rejected
117,0.9736,1,0.9438,Verified
118,0.658,0,0.6575,Rejected
119,0.5012,1,0.5218,Verified
120,0.5141,1,0.5035,Review
121,0.6428,1,0.5806,Verified
122,0.4216,1,0.44,Rejected
123,0.2542,1,0.2359,Rejected
124,0.5666,1,0.5718,Verified
125,0.1408,1,0.1283,Rejected
126,0.8716,0,0.8541,Review
127,0.1791,1,0.183,Rejected
128,0.0588,1,0.0546,Verified
129,0.4786,1,0.4386,Verified
130,0.2136,1,0.2053,Rejected
131,0.337,0,0.3337,Review
132,0.3167,1,0.3251,Rejected
133,0.0353,1,0.0329,Review
134,0.1336,1,0.1214,Rejected
135,0.7211,0,0.6706,Review
136,0.9018,1,0.8167,Review
137,0.6014,1,0.5666,Review
138,0.8065,0,0.7683,Rejected
139,0.9899,0,0.9986,Review
140,0.791,0,0.7411,Review
141,0.5988,1,0.5818,Verified
142,0.2104,1,0.2038,Review
143,0.3423,0,0.3423,Verified
144,0.6878,0,0.718,Rejected
145,0.1359,0,0.1229,Rejected
146,0.4379,0,0.4238,Review
147,0.8647,0,0.8024,Review
148,0.597,1,0.6118,Review
149,0.1345,1,0.1364,Rejected
150,0.4453,1,0.4274,Verified
151,0.9181,1,0.9621,Rejected
152,0.983,1,0.9586,Verified
153,0.0832,1,0.0838,Rejected
154,0.8455,1,0.8042,Verified
155,0.9856,0,1.0,Verified
156,0.532,1,0.5029,Verified
157,0.3904,1,0.3688,Rejected
158,0.6141,0,0.6292,Verified
159,0.7922,0,0.7377,Review
160,0.2833,1,0.2843,Rejected
161,0.8931,0,0.8555,Review
162,0.5639,1,0.5887,Rejected
163,0.0798,0,0.0719,Review
164,0.2743,0,0.2715,Rejected
165,0.1878,1,0.1854,Review
166,0.6833,1,0.7145,Review
167,0.0555,1,0.0536,Review
168,0.717,1,0.6515,Verified
169,0.8053,1,0.8059,Rejected
170,0.3828,1,0.3659,Verified
171,0.7342,0,0.6929,Verified
172,0.4672,0,0.4403,Verified
173,0.1945,0,0.1937,Rejected
174,0.1135,0,0.1066,Rejected
175,0.2799,1,0.2933,Rejected
176,0.8981,0,0.8335,Review
177,0.5874,1,0.5663,Verified
178,0.6941,1,0.7144,Rejected
179,0.8187,1,0.8487,Rejected
180,0.6236,1,0.6544,Rejected
181,0.1655,1,0.1722,Rejected
182,0.8279,1,0.7592,Verified
183,0.9938,0,1.0,Review
184,0.9275,0,0.8554,Review
185,0.0923,0,0.0871,Rejected
186,0.7076,0,0.7372,Rejected
187,0.0925,0,0.091,Rejected
188,0.0044,1,0.0042,Review
189,0.822,1,0.7435,Verified
190,0.1028,1,0.0946,Rejected
191,0.0586,0,0.0532,Rejected
192,0.3984,1,0.4177,Review
193,0.6981,0,0.6804,Verified
194,0.6717,0,0.639,Rejected
195,0.6113,1,0.5765,Rejected
196,0.8819,0,0.8561,Rejected
197,0.3803,0,0.347,Verified
198,0.2895,0,0.2715,Review
199,0.8986,1,0.8878,Review
200,0.7805,1,0.7533,Rejected
201,0.8363,0,0.8445,Review
202,0.7248,0,0.6534,Rejected
203,0.8322,1,0.8582,Verified
204,0.6214,0,0.5819,Rejected
205,0.5597,1,0.5302,Verified
206,0.6798,1,0.6784,Verified
207,0.4116,0,0.3906,Verified
208,0.1494,0,0.1556,Review
209,0.5997,0,0.5875,Review
210,0.8265,0,0.8218,Rejected
211,0.6665,1,0.6152,Review
212,0.1412,0,0.1409,Review
213,0.2856,0,0.2804,Rejected
214,0.1184,1,0.1214,Verified
215,0.0149,1,0.0155,Rejected
216,0.7004,1,0.6705,Review
217,0.9387,1,0.8867,Rejected
218,0.7101,0,0.7144,Verified
219,0.7261,1,0.6597,Verified
220,0.0392,0,0.0398,Review
221,0.3799,0,0.3739,Rejected
222,0.2823,0,0.2753,Review
223,0.6061,0,0.6209,Rejected
224,0.1299,0,0.131,Verified
225,0.9722,1,0.899,Rejected
226,0.276,1,0.2675,Review
227,0.0667,0,0.0686,Review
228,0.0976,1,0.0888,Rejected
229,0.2225,0,0.2105,Rejected
230,0.5087,1,0.4846,Verified
231,0.289,0,0.2895,Review
232,0.9594,1,1.0,Rejected
233,0.0049,0,0.0048,Rejected
234,0.206,1,0.1997,Verified
235,0.0383,0,0.036,Rejected
236,0.975,0,0.906,Rejected
237,0.4761,0,0.4616,Review
238,0.8208,1,0.8231,Review
239,0.381,0,0.3712,Verified
240,0.1052,1,0.1086,Review
241,0.4354,0,0.4538,Verified
242,0.9771,0,0.9067,Review
243,0.2968,1,0.2795,Verified
244,0.2252,0,0.2278,Review
245,0.6036,1,0.6015,Rejected
246,0.6679,0,0.6875,Verified
247,0.9177,1,0.9316,Review
248,0.9767,0,0.9504,Rejected
249,0.3278,0,0.3367,Verified
250,0.3795,1,0.3552,Verified
251,0.8212,1,0.7891,Verified
252,0.0797,0,0.0732,Review
253,0.3055,1,0.2844,Review
254,0.0235,1,0.0216,Verified
255,0.6822,0,0.712,Rejected
256,0.8863,1,0.8092,Review
257,0.4031,1,0.383,Review
258,0.4493,1,0.4111,Review
259,0.1698,1,0.1552,Verified
260,0.9683,0,0.8773,Review
261,0.8229,0,0.7447,Verified
262,0.716,1,0.6934,Verified
263,0.2525,0,0.2339,Review
264,0.7966,1,0.7507,Verified
265,0.4892,1,0.5013,Verified
266,0.5886,0,0.556,Verified
267,0.0869,0,0.0787,Verified
268,0.3146,0,0.293,Verified
269,0.3774,0,0.3597,Rejected
270,0.202,0,0.2096,Verified
271,0.4403,1,0.4475,Rejected
272,0.4096,0,0.385,Rejected
273,0.6805,0,0.6932,Verified
274,0.7226,0,0.7283,Verified
275,0.6723,0,0.7058,Review
276,0.8335,1,0.7775,Rejected
277,0.0067,0,0.0061,Verified
278,0.6205,0,0.6327,Review
279,0.3831,0,0.3491,Verified
280,0.9496,0,0.9626,Rejected
281,0.3632,1,0.3367,Rejected
282,0.0873,0,0.08,Verified
283,0.6887,0,0.7092,Review
284,0.2453,0,0.2491,Review
285,0.5844,0,0.6038,Verified
286,0.1297,0,0.1315,Verified
287,0.048,1,0.0447,Rejected
288,0.5567,0,0.5085,Rejected
289,0.5721,1,0.5461,Rejected
290,0.3906,1,0.3729,Verified
291,0.5798,0,0.5814,Rejected
292,0.1902,0,0.1832,Rejected
293,0.483,1,0.5057,Rejected
294,0.8242,1,0.8057,Review
295,0.4871,1,0.4437,Rejected
296,0.597,1,0.5914,Review
297,0.8752,0,0.8854,Review
298,0.7729,0,0.7417,Verified
299,0.4975,0,0.5113,Review
300,0.9525,0,0.8894,Review
301,0.5372,1,0.5412,Rejected
302,0.5823,0,0.5632,Rejected
303,0.7679,0,0.7743,Rejected
304,0.1472,1,0.1358,Rejected
305,0.2127,0,0.1943,Verified
306,0.6449,0,0.6649,Review
307,0.4217,0,0.3986,Verified
308,0.184,1,0.185,Rejected
309,0.585,1,0.578,Rejected
310,0.1965,1,0.1966,Rejected
311,0.9714,0,1.0,Review
312,0.6929,0,0.6802,Rejected
313,0.4597,1,0.4152,Review
314,0.1732,1,0.1709,Verified
315,0.9013,0,0.849,Review
316,0.923,1,0.9499,Verified
317,0.357,1,0.3536,Rejected
318,0.4934,1,0.5092,Rejected
319,0.6786,0,0.6325,Verified
320,0.2496,0,0.2278,Verified
321,0.2399,1,0.2354,Review
322,0.3852,0,0.3978,Review
323,0.9052,0,0.9207,Rejected
324,0.9628,0,1.0,Rejected
325,0.9026,1,0.8278,Rejected
326,0.049,0,0.0477,Verified
327,0.8436,1,0.8501,Verified
328,0.2387,1,0.22,Review
329,0.9609,1,0.9227,Review
330,0.6063,1,0.6337,Rejected
331,0.0335,0,0.0321,Verified
332,0.4728,0,0.4295,Rejected
333,0.6651,1,0.6062,Verified
334,0.1511,1,0.1423,Review
335,0.4206,1,0.3969,Review
336,0.6704,0,0.6184,Rejected
337,0.9918,0,1.0,Rejected
338,0.5154,1,0.484,Review
339,0.1529,0,0.1454,Verified
340,0.3254,0,0.3217,Rejected
341,0.1328,0,0.1255,Rejected
342,0.2582,1,0.2494,Review
343,0.3973,0,0.3823,Verified
344,0.8569,1,0.8314,Rejected
345,0.7254,1,0.7571,Review
346,0.9182,1,0.9072,Review
347,0.615,0,0.5866,Rejected
348,0.9977,1,0.9463,Verified
349,0.1074,1,0.1078,Rejected
350,0.9891,0,0.9801,Verified
351,0.7058,1,0.7086,Rejected
352,0.4043,1,0.3808,Verified
353,0.8538,0,0.7734,Verified
354,0.2625,1,0.2423,Rejected
355,0.85,1,0.8357,Review
356,0.5061,1,0.4649,Verified
357,0.776,1,0.7604,Verified
358,0.8551,0,0.791,Review
359,0.4468,0,0.4258,Rejected
360,0.0526,0,0.051,Review
361,0.2414,1,0.237,Review
362,0.1415,1,0.1471,Rejected
363,0.5265,1,0.5186,Verified
364,0.8452,0,0.7851,Rejected
365,0.2357,0,0.2151,Rejected
366,0.2387,0,0.2366,Verified
367,0.1503,1,0.1571,Verified
368,0.7848,0,0.7811,Review
369,0.6876,1,0.7219,Review
370,0.679,1,0.6375,Verified
371,0.3364,1,0.3282,Rejected
372,0.1094,0,0.1082,Rejected
373,0.5663,1,0.5747,Rejected
374,0.8531,0,0.889,Review
375,0.923,1,0.9321,Verified
376,0.4128,1,0.4174,Review
377,0.8413,1,0.8232,Verified
378,0.227,1,0.211,Rejected
379,0.5559,1,0.5607,Verified
380,0.1744,0,0.162,Rejected
381,0.1388,0,0.1282,Rejected
382,0.0552,1,0.0573,Verified
383,0.7263,1,0.6933,Verified
384,0.1343,1,0.1293,Verified
385,0.472,0,0.485,Verified
386,0.6154,0,0.5576,Verified
387,0.9591,0,0.9889,Review
388,0.0252,0,0.0259,Verified
389,0.7927,0,0.7906,Review
390,0.8448,0,0.7669,Rejected
391,0.5633,1,0.5125,Rejected
392,0.8844,0,0.9102,Review
393,0.9303,0,0.8513,Verified
394,0.3152,1,0.2888,Rejected
395,0.9957,1,0.9868,Rejected
396,0.788,0,0.7544,Review
397,0.1519,0,0.1402,Review
398,0.8409,0,0.801,Review
399,0.0214,1,0.0212,Review
400,0.1202,1,0.1108,Verified
401,0.4642,1,0.4414,Review
402,0.7998,1,0.757,Rejected
403,0.952,1,0.9995,Review
404,0.6456,0,0.5994,Rejected
405,0.2023,1,0.1838,Rejected
406,0.3502,0,0.3176,Review
407,0.3957,1,0.3737,Verified
408,0.4495,0,0.4342,Verified
409,0.1014,1,0.0963,Review
410,0.4598,0,0.4169,Review
411,0.0276,0,0.0281,Review
412,0.4755,1,0.447,Rejected
413,0.6421,1,0.6057,Rejected
414,0.0603,1,0.0569,Verified
415,0.3369,0,0.3515,Review
416,0.2449,1,0.2319,Verified
417,0.9569,1,0.9279,Verified
418,0.9905,0,0.9797,Rejected
419,0.8197,1,0.8072,Review
420,0.8511,1,0.8204,Verified
421,0.1407,1,0.1351,Verified
422,0.5889,1,0.5945,Rejected
423,0.8468,1,0.8766,Rejected
424,0.2298,0,0.2251,Review
425,0.2517,1,0.2534,Rejected
426,0.3278,1,0.3353,Rejected
427,0.0317,0,0.0327,Rejected
428,0.3598,1,0.3748,Review
429,0.3201,0,0.3078,Verified
430,0.321,0,0.3077,Review
431,0.4794,1,0.4689,Review
432,0.1914,1,0.1856,Rejected
433,0.7047,1,0.7088,Review
434,0.1057,1,0.1096,Verified
435,0.7222,0,0.6701,Verified
436,0.7724,1,0.7861,Review
437,0.8346,0,0.866,Verified
438,0.4801,1,0.4611,Verified
439,0.2229,0,0.2077,Rejected
440,0.8489,1,0.8767,Review
441,0.6738,0,0.6501,Rejected
442,0.8132,1,0.8251,Review
443,0.8722,1,0.8433,Review
444,0.3851,0,0.3815,Rejected
445,0.6235,0,0.5708,Verified
446,0.0245,0,0.0244,Rejected
447,0.9405,0,0.8549,Review
448,0.8587,0,0.8188,Review
449,0.6222,0,0.6096,Rejected
450,0.5737,0,0.5538,Review
451,0.805,0,0.8166,Verified
452,0.4489,0,0.4471,Rejected
453,0.1776,1,0.1623,Rejected
454,0.351,0,0.356,Verified
455,0.6223,1,0.5658,Rejected
456,0.2594,0,0.2343,Review
