claim_id,prompt,claim,sep_score,semantic_entropy,kernel_entropy,retrieval_score,nli_grounding,label
CLM-001,Synthetic prompt 1,Synthetic generated claim 1,0.824,0.706,0.819,0.463,0.044,0
CLM-002,Synthetic prompt 2,Synthetic generated claim 2,0.062,0.056,0.235,0.998,0.825,1
CLM-003,Synthetic prompt 3,Synthetic generated claim 3,0.232,0.19,0.103,0.743,0.912,1
CLM-004,Synthetic prompt 4,Synthetic generated claim 4,0.927,0.555,0.693,0.587,0.085,0
CLM-005,Synthetic prompt 5,Synthetic generated claim 5,0.092,0.124,0.331,0.722,0.845,1
CLM-006,Synthetic prompt 6,Synthetic generated claim 6,0.807,0.614,0.908,0.16,0.127,0
CLM-007,Synthetic prompt 7,Synthetic generated claim 7,0.121,0.026,0.241,1.0,0.918,1
CLM-008,Synthetic prompt 8,Synthetic generated claim 8,0.221,0.191,0.231,0.754,0.756,1
CLM-009,Synthetic prompt 9,Synthetic generated claim 9,0.231,0.122,0.006,0.776,0.775,1
CLM-010,Synthetic prompt 10,Synthetic generated claim 10,0.918,0.822,0.92,0.226,0.091,0
CLM-011,Synthetic prompt 11,Synthetic generated claim 11,0.821,0.584,0.614,0.25,0.337,0
CLM-012,Synthetic prompt 12,Synthetic generated claim 12,0.473,0.621,0.615,0.337,0.25,0
CLM-013,Synthetic prompt 13,Synthetic generated claim 13,0.944,0.891,0.687,0.191,0.107,0
CLM-014,Synthetic prompt 14,Synthetic generated claim 14,0.035,0.259,0.122,0.722,0.893,1
CLM-015,Synthetic prompt 15,Synthetic generated claim 15,0.837,0.515,0.909,0.337,0.065,0
CLM-016,Synthetic prompt 16,Synthetic generated claim 16,0.492,0.672,0.932,0.167,0.211,0
CLM-017,Synthetic prompt 17,Synthetic generated claim 17,0.382,0.139,0.019,0.734,0.765,1
CLM-018,Synthetic prompt 18,Synthetic generated claim 18,0.721,0.65,0.871,0.158,0.362,0
CLM-019,Synthetic prompt 19,Synthetic generated claim 19,0.067,0.219,0.182,0.735,0.798,1
CLM-020,Synthetic prompt 20,Synthetic generated claim 20,0.249,0.188,0.012,0.784,0.814,1
CLM-021,Synthetic prompt 21,Synthetic generated claim 21,0.545,0.56,0.896,0.429,0.185,0
CLM-022,Synthetic prompt 22,Synthetic generated claim 22,0.115,0.103,0.295,0.882,0.798,1
CLM-023,Synthetic prompt 23,Synthetic generated claim 23,0.021,0.265,0.103,0.82,0.932,1
CLM-024,Synthetic prompt 24,Synthetic generated claim 24,0.186,0.13,0.032,0.791,0.938,1
