claim_id,hidden_state_vector,target_semantic_entropy
CLM-001,"[0.9996, 0.6109, 0.681, -0.9797, 0.7897, 0.2602, -0.5967, -0.7279]",0.421
CLM-002,"[0.9323, 0.6668, -0.7429, 0.22, -0.6712, -0.1526, 0.1957, 0.4461]",0.365
CLM-003,"[0.009, -0.0204, -0.1317, 0.0331, 0.8516, 0.0096, 0.2579, -0.2355]",0.769
CLM-004,"[-0.0335, -0.4619, -0.3435, -0.3258, 0.5675, -0.5683, 0.9592, -0.2692]",0.095
CLM-005,"[-0.9605, 0.0939, -0.2469, 0.8101, -0.3546, -0.9508, -0.1422, 0.9043]",0.32
CLM-006,"[0.4216, -0.506, -0.8045, -0.5947, 0.174, -0.9355, 0.1883, 0.2361]",0.396
CLM-007,"[0.3053, -0.7877, 0.1167, -0.6935, 0.9125, 0.4536, -0.2962, -0.7717]",0.588
CLM-008,"[0.8265, 0.8245, 0.1964, 0.4906, 0.619, 0.2913, -0.5735, 0.8524]",0.532
CLM-009,"[-0.5883, 0.7599, 0.7127, 0.781, -0.7549, -0.7718, -0.6973, -0.1318]",0.251
CLM-010,"[0.6577, -0.7034, -0.8354, -0.1421, 0.9336, -0.897, -0.6234, -0.3626]",0.878
CLM-011,"[-0.3429, -0.8333, 0.5033, 0.8546, -0.1752, 0.0363, 0.9336, 0.9253]",0.975
CLM-012,"[0.795, -0.9883, -0.9203, 0.7307, 0.0533, -0.9035, 0.6066, 0.8512]",0.333
CLM-013,"[0.1037, -0.6864, 0.8076, -0.8805, -0.1216, -0.6175, -0.7016, 0.4723]",0.351
CLM-014,"[-0.5196, 0.3919, 0.8501, 0.485, -0.4914, -0.3456, -0.2802, 0.6909]",0.569
CLM-015,"[-0.7891, -0.3794, 0.0535, 0.9237, -0.316, -0.9928, 0.7662, -0.9385]",0.862
CLM-016,"[0.5559, -0.0586, 0.5893, 0.7733, -0.9722, 0.5165, 0.3027, 0.8891]",0.301
CLM-017,"[0.216, 0.5286, 0.1975, 0.2845, -0.4907, -0.3413, 0.5097, 0.2117]",0.212
CLM-018,"[0.4156, 0.9122, 0.0622, -0.2653, -0.1058, -0.649, 0.0074, 0.8375]",0.023
CLM-019,"[0.0839, -0.6867, 0.646, 0.9378, 0.9159, 0.2833, 0.686, 0.1409]",0.818
CLM-020,"[0.4978, 0.9974, 0.5774, 0.2928, 0.1865, 0.6275, 0.2401, 0.9842]",0.344
CLM-021,"[-0.5972, -0.9484, 0.3044, -0.6414, 0.032, 0.9175, 0.3619, -0.9554]",0.343
CLM-022,"[-0.3553, -0.4699, -0.1711, -0.9907, -0.2253, -0.3331, 0.897, 0.463]",0.009
CLM-023,"[0.3991, 0.8895, -0.9619, 0.2301, -0.4067, -0.3077, 0.2756, -0.2816]",0.781
CLM-024,"[0.9072, -0.6466, 0.1713, 0.5718, 0.247, -0.1524, 0.2501, -0.8485]",0.987
CLM-025,"[-0.7255, 0.0107, -0.9873, 0.9298, 0.3158, -0.6261, -0.5436, 0.1349]",0.702
CLM-026,"[0.5021, 0.0836, -0.2332, -0.7534, 0.0486, -0.4934, 0.8034, -0.7698]",0.23
CLM-027,"[-0.3094, -0.2729, -0.9644, -0.2282, -0.6018, 0.1238, 0.6556, -0.2088]",0.929
CLM-028,"[-0.0469, 0.1528, 0.2289, -0.7875, -0.106, 0.7024, 0.5683, -0.1155]",0.356
CLM-029,"[-0.6228, -0.6938, 0.2527, 0.3948, 0.3357, 0.2597, 0.8194, -0.8034]",0.367
CLM-030,"[0.4876, -0.6714, -0.3931, -0.6346, -0.1757, 0.4957, 0.171, -0.2299]",0.989
CLM-031,"[-0.1594, -0.4917, -0.358, -0.2648, -0.5898, 0.4697, -0.7132, 0.9924]",0.006
CLM-032,"[-0.5466, 0.8763, 0.9813, -0.7558, 0.0661, -0.2717, 0.1253, -0.8697]",0.737
CLM-033,"[0.1246, 0.8937, -0.0571, 0.0866, -0.7909, 0.4424, 0.0519, 0.5928]",0.451
